Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2015,07,10,7.6,1,Y
IDCJAC0011,086338,2015,07,11,10.9,1,Y
IDCJAC0011,086338,2015,07,12,3.4,1,Y
IDCJAC0011,086338,2015,07,13,6.1,1,Y
IDCJAC0011,086338,2015,07,14,8.1,1,Y
IDCJAC0011,086338,2015,07,15,5.8,1,Y
IDCJAC0011,086338,2015,07,16,6.6,1,Y
IDCJAC0011,086338,2015,07,17,7.3,1,Y
IDCJAC0011,086338,2015,07,18,6.1,1,Y
IDCJAC0011,086338,2015,07,19,0.6,1,Y
IDCJAC0011,086338,2015,07,20,1.8,1,Y
IDCJAC0011,086338,2015,07,21,4.2,1,Y
IDCJAC0011,086338,2015,07,22,11.4,1,Y
IDCJAC0011,086338,2015,07,23,5.1,1,Y
IDCJAC0011,086338,2015,07,24,7.6,1,Y
IDCJAC0011,086338,2015,07,25,9.4,1,Y
IDCJAC0011,086338,2015,07,26,8.1,1,Y
IDCJAC0011,086338,2015,07,27,6.2,1,Y
IDCJAC0011,086338,2015,07,28,7.9,1,Y
IDCJAC0011,086338,2015,07,29,8.4,1,Y
IDCJAC0011,086338,2015,07,30,8.6,1,Y
IDCJAC0011,086338,2015,07,31,4.1,1,Y
IDCJAC0011,086338,2015,08,01,6.5,1,Y
IDCJAC0011,086338,2015,08,02,7.8,1,Y
IDCJAC0011,086338,2015,08,03,7.3,1,Y
IDCJAC0011,086338,2015,08,04,3.5,1,Y
IDCJAC0011,086338,2015,08,05,6.6,1,Y
IDCJAC0011,086338,2015,08,06,7.1,1,Y
IDCJAC0011,086338,2015,08,07,9.0,1,Y
IDCJAC0011,086338,2015,08,08,8.8,1,Y
IDCJAC0011,086338,2015,08,09,7.7,1,Y
IDCJAC0011,086338,2015,08,10,8.3,1,Y
IDCJAC0011,086338,2015,08,11,7.8,1,Y
IDCJAC0011,086338,2015,08,12,9.3,1,Y
IDCJAC0011,086338,2015,08,13,8.4,1,Y
IDCJAC0011,086338,2015,08,14,10.4,1,Y
IDCJAC0011,086338,2015,08,15,10.0,1,Y
IDCJAC0011,086338,2015,08,16,4.7,1,Y
IDCJAC0011,086338,2015,08,17,6.8,1,Y
IDCJAC0011,086338,2015,08,18,6.1,1,Y
IDCJAC0011,086338,2015,08,19,5.5,1,Y
IDCJAC0011,086338,2015,08,20,6.1,1,Y
IDCJAC0011,086338,2015,08,21,10.9,1,Y
IDCJAC0011,086338,2015,08,22,11.8,1,Y
IDCJAC0011,086338,2015,08,23,7.9,1,Y
IDCJAC0011,086338,2015,08,24,8.5,1,Y
IDCJAC0011,086338,2015,08,25,9.5,1,Y
IDCJAC0011,086338,2015,08,26,9.2,1,Y
IDCJAC0011,086338,2015,08,27,9.8,1,Y
IDCJAC0011,086338,2015,08,28,8.1,1,Y
IDCJAC0011,086338,2015,08,29,6.3,1,Y
IDCJAC0011,086338,2015,08,30,7.9,1,Y
IDCJAC0011,086338,2015,08,31,8.1,1,Y
IDCJAC0011,086338,2015,09,01,5.1,1,Y
IDCJAC0011,086338,2015,09,02,8.0,1,Y
IDCJAC0011,086338,2015,09,03,10.6,1,Y
IDCJAC0011,086338,2015,09,04,8.7,1,Y
IDCJAC0011,086338,2015,09,05,10.2,1,Y
IDCJAC0011,086338,2015,09,06,5.8,1,Y
IDCJAC0011,086338,2015,09,07,8.9,1,Y
IDCJAC0011,086338,2015,09,08,8.8,1,Y
IDCJAC0011,086338,2015,09,09,10.0,1,Y
IDCJAC0011,086338,2015,09,10,10.0,1,Y
IDCJAC0011,086338,2015,09,11,5.1,1,Y
IDCJAC0011,086338,2015,09,12,12.2,1,Y
IDCJAC0011,086338,2015,09,13,13.2,1,Y
IDCJAC0011,086338,2015,09,14,15.4,1,Y
IDCJAC0011,086338,2015,09,15,10.8,1,Y
IDCJAC0011,086338,2015,09,16,8.9,1,Y
IDCJAC0011,086338,2015,09,17,9.0,1,Y
IDCJAC0011,086338,2015,09,18,10.5,1,Y
IDCJAC0011,086338,2015,09,19,6.5,1,Y
IDCJAC0011,086338,2015,09,20,8.5,1,Y
IDCJAC0011,086338,2015,09,21,14.0,1,Y
IDCJAC0011,086338,2015,09,22,7.6,1,Y
IDCJAC0011,086338,2015,09,23,8.5,1,Y
IDCJAC0011,086338,2015,09,24,5.1,1,Y
IDCJAC0011,086338,2015,09,25,5.8,1,Y
IDCJAC0011,086338,2015,09,26,6.6,1,Y
IDCJAC0011,086338,2015,09,27,9.8,1,Y
IDCJAC0011,086338,2015,09,28,8.3,1,Y
IDCJAC0011,086338,2015,09,29,9.0,1,Y
IDCJAC0011,086338,2015,09,30,11.5,1,Y
IDCJAC0011,086338,2015,10,01,6.0,1,Y
IDCJAC0011,086338,2015,10,02,9.9,1,Y
IDCJAC0011,086338,2015,10,03,16.3,1,Y
IDCJAC0011,086338,2015,10,04,13.9,1,Y
IDCJAC0011,086338,2015,10,05,12.7,1,Y
IDCJAC0011,086338,2015,10,06,15.5,1,Y
IDCJAC0011,086338,2015,10,07,11.8,1,Y
IDCJAC0011,086338,2015,10,08,7.6,1,Y
IDCJAC0011,086338,2015,10,09,10.9,1,Y
IDCJAC0011,086338,2015,10,10,17.5,1,Y
IDCJAC0011,086338,2015,10,11,16.9,1,Y
IDCJAC0011,086338,2015,10,12,11.3,1,Y
IDCJAC0011,086338,2015,10,13,7.9,1,Y
IDCJAC0011,086338,2015,10,14,11.2,1,Y
IDCJAC0011,086338,2015,10,15,14.4,1,Y
IDCJAC0011,086338,2015,10,16,17.0,1,Y
IDCJAC0011,086338,2015,10,17,11.5,1,Y
IDCJAC0011,086338,2015,10,18,12.6,1,Y
IDCJAC0011,086338,2015,10,19,8.3,1,Y
IDCJAC0011,086338,2015,10,20,12.9,1,Y
IDCJAC0011,086338,2015,10,21,17.6,1,Y
IDCJAC0011,086338,2015,10,22,11.4,1,Y
IDCJAC0011,086338,2015,10,23,11.8,1,Y
IDCJAC0011,086338,2015,10,24,9.2,1,Y
IDCJAC0011,086338,2015,10,25,10.2,1,Y
IDCJAC0011,086338,2015,10,26,14.0,1,Y
IDCJAC0011,086338,2015,10,27,10.4,1,Y
IDCJAC0011,086338,2015,10,28,10.1,1,Y
IDCJAC0011,086338,2015,10,29,13.7,1,Y
IDCJAC0011,086338,2015,10,30,12.6,1,Y
IDCJAC0011,086338,2015,10,31,15.7,1,Y
IDCJAC0011,086338,2015,11,01,16.4,1,Y
IDCJAC0011,086338,2015,11,02,14.5,1,Y
IDCJAC0011,086338,2015,11,03,8.0,1,Y
IDCJAC0011,086338,2015,11,04,10.9,1,Y
IDCJAC0011,086338,2015,11,05,16.2,1,Y
IDCJAC0011,086338,2015,11,06,16.6,1,Y
IDCJAC0011,086338,2015,11,07,11.9,1,Y
IDCJAC0011,086338,2015,11,08,8.5,1,Y
IDCJAC0011,086338,2015,11,09,13.6,1,Y
IDCJAC0011,086338,2015,11,10,15.2,1,Y
IDCJAC0011,086338,2015,11,11,11.5,1,Y
IDCJAC0011,086338,2015,11,12,13.7,1,Y
IDCJAC0011,086338,2015,11,13,13.5,1,Y
IDCJAC0011,086338,2015,11,14,12.1,1,Y
IDCJAC0011,086338,2015,11,15,13.0,1,Y
IDCJAC0011,086338,2015,11,16,11.4,1,Y
IDCJAC0011,086338,2015,11,17,15.7,1,Y
IDCJAC0011,086338,2015,11,18,14.7,1,Y
IDCJAC0011,086338,2015,11,19,15.6,1,Y
IDCJAC0011,086338,2015,11,20,15.4,1,Y
IDCJAC0011,086338,2015,11,21,12.2,1,Y
IDCJAC0011,086338,2015,11,22,13.5,1,Y
IDCJAC0011,086338,2015,11,23,13.8,1,Y
IDCJAC0011,086338,2015,11,24,13.6,1,Y
IDCJAC0011,086338,2015,11,25,13.5,1,Y
IDCJAC0011,086338,2015,11,26,10.8,1,Y
IDCJAC0011,086338,2015,11,27,9.0,1,Y
IDCJAC0011,086338,2015,11,28,12.0,1,Y
IDCJAC0011,086338,2015,11,29,12.6,1,Y
IDCJAC0011,086338,2015,11,30,10.0,1,Y
IDCJAC0011,086338,2015,12,01,14.5,1,Y
IDCJAC0011,086338,2015,12,02,9.2,1,Y
IDCJAC0011,086338,2015,12,03,12.2,1,Y
IDCJAC0011,086338,2015,12,04,11.3,1,Y
IDCJAC0011,086338,2015,12,05,15.5,1,Y
IDCJAC0011,086338,2015,12,06,15.3,1,Y
IDCJAC0011,086338,2015,12,07,18.1,1,Y
IDCJAC0011,086338,2015,12,08,20.3,1,Y
IDCJAC0011,086338,2015,12,09,15.4,1,Y
IDCJAC0011,086338,2015,12,10,13.1,1,Y
IDCJAC0011,086338,2015,12,11,14.2,1,Y
IDCJAC0011,086338,2015,12,12,10.1,1,Y
IDCJAC0011,086338,2015,12,13,10.3,1,Y
IDCJAC0011,086338,2015,12,14,11.9,1,Y
IDCJAC0011,086338,2015,12,15,14.4,1,Y
IDCJAC0011,086338,2015,12,16,15.6,1,Y
IDCJAC0011,086338,2015,12,17,16.9,1,Y
IDCJAC0011,086338,2015,12,18,19.4,1,Y
IDCJAC0011,086338,2015,12,19,19.2,1,Y
IDCJAC0011,086338,2015,12,20,25.9,1,Y
IDCJAC0011,086338,2015,12,21,15.0,1,Y
IDCJAC0011,086338,2015,12,22,12.0,1,Y
IDCJAC0011,086338,2015,12,23,15.1,1,Y
IDCJAC0011,086338,2015,12,24,16.7,1,Y
IDCJAC0011,086338,2015,12,25,21.7,1,Y
IDCJAC0011,086338,2015,12,26,12.7,1,Y
IDCJAC0011,086338,2015,12,27,11.9,1,Y
IDCJAC0011,086338,2015,12,28,12.8,1,Y
IDCJAC0011,086338,2015,12,29,12.4,1,Y
IDCJAC0011,086338,2015,12,30,13.9,1,Y
IDCJAC0011,086338,2015,12,31,19.7,1,Y
IDCJAC0011,086338,2016,01,01,19.8,1,Y
IDCJAC0011,086338,2016,01,02,17.1,1,Y
IDCJAC0011,086338,2016,01,03,17.5,1,Y
IDCJAC0011,086338,2016,01,04,16.3,1,Y
IDCJAC0011,086338,2016,01,05,17.1,1,Y
IDCJAC0011,086338,2016,01,06,17.3,1,Y
IDCJAC0011,086338,2016,01,07,16.3,1,Y
IDCJAC0011,086338,2016,01,08,16.2,1,Y
IDCJAC0011,086338,2016,01,09,16.8,1,Y
IDCJAC0011,086338,2016,01,10,15.7,1,Y
IDCJAC0011,086338,2016,01,11,17.2,1,Y
IDCJAC0011,086338,2016,01,12,17.1,1,Y
IDCJAC0011,086338,2016,01,13,16.8,1,Y
IDCJAC0011,086338,2016,01,14,16.1,1,Y
IDCJAC0011,086338,2016,01,15,13.6,1,Y
IDCJAC0011,086338,2016,01,16,11.9,1,Y
IDCJAC0011,086338,2016,01,17,14.9,1,Y
IDCJAC0011,086338,2016,01,18,18.6,1,Y
IDCJAC0011,086338,2016,01,19,17.9,1,Y
IDCJAC0011,086338,2016,01,20,19.3,1,Y
IDCJAC0011,086338,2016,01,21,19.0,1,Y
IDCJAC0011,086338,2016,01,22,17.5,1,Y
IDCJAC0011,086338,2016,01,23,17.3,1,Y
IDCJAC0011,086338,2016,01,24,16.2,1,Y
IDCJAC0011,086338,2016,01,25,16.7,1,Y
IDCJAC0011,086338,2016,01,26,16.5,1,Y
IDCJAC0011,086338,2016,01,27,19.3,1,Y
IDCJAC0011,086338,2016,01,28,20.3,1,Y
IDCJAC0011,086338,2016,01,29,14.4,1,Y
IDCJAC0011,086338,2016,01,30,12.3,1,Y
IDCJAC0011,086338,2016,01,31,13.9,1,Y
IDCJAC0011,086338,2016,02,01,12.5,1,Y
IDCJAC0011,086338,2016,02,02,15.4,1,Y
IDCJAC0011,086338,2016,02,03,18.1,1,Y
IDCJAC0011,086338,2016,02,04,17.3,1,Y
IDCJAC0011,086338,2016,02,05,15.3,1,Y
IDCJAC0011,086338,2016,02,06,16.5,1,Y
IDCJAC0011,086338,2016,02,07,19.1,1,Y
IDCJAC0011,086338,2016,02,08,19.2,1,Y
IDCJAC0011,086338,2016,02,09,17.4,1,Y
IDCJAC0011,086338,2016,02,10,17.4,1,Y
IDCJAC0011,086338,2016,02,11,18.0,1,Y
IDCJAC0011,086338,2016,02,12,16.7,1,Y
IDCJAC0011,086338,2016,02,13,17.7,1,Y
IDCJAC0011,086338,2016,02,14,16.4,1,Y
IDCJAC0011,086338,2016,02,15,14.0,1,Y
IDCJAC0011,086338,2016,02,16,13.7,1,Y
IDCJAC0011,086338,2016,02,17,12.7,1,Y
IDCJAC0011,086338,2016,02,18,15.5,1,Y
IDCJAC0011,086338,2016,02,19,15.8,1,Y
IDCJAC0011,086338,2016,02,20,15.8,1,Y
IDCJAC0011,086338,2016,02,21,12.6,1,Y
IDCJAC0011,086338,2016,02,22,15.6,1,Y
IDCJAC0011,086338,2016,02,23,18.1,1,Y
IDCJAC0011,086338,2016,02,24,22.4,1,Y
IDCJAC0011,086338,2016,02,25,19.6,1,Y
IDCJAC0011,086338,2016,02,26,15.5,1,Y
IDCJAC0011,086338,2016,02,27,17.7,1,Y
IDCJAC0011,086338,2016,02,28,17.7,1,Y
IDCJAC0011,086338,2016,02,29,15.0,1,Y
IDCJAC0011,086338,2016,03,01,17.3,1,Y
IDCJAC0011,086338,2016,03,02,17.6,1,Y
IDCJAC0011,086338,2016,03,03,17.4,1,Y
IDCJAC0011,086338,2016,03,04,16.5,1,Y
IDCJAC0011,086338,2016,03,05,20.4,1,Y
IDCJAC0011,086338,2016,03,06,17.4,1,Y
IDCJAC0011,086338,2016,03,07,18.6,1,Y
IDCJAC0011,086338,2016,03,08,19.9,1,Y
IDCJAC0011,086338,2016,03,09,20.8,1,Y
IDCJAC0011,086338,2016,03,10,18.1,1,Y
IDCJAC0011,086338,2016,03,11,18.8,1,Y
IDCJAC0011,086338,2016,03,12,18.7,1,Y
IDCJAC0011,086338,2016,03,13,17.7,1,Y
IDCJAC0011,086338,2016,03,14,18.4,1,Y
IDCJAC0011,086338,2016,03,15,15.1,1,Y
IDCJAC0011,086338,2016,03,16,15.3,1,Y
IDCJAC0011,086338,2016,03,17,18.3,1,Y
IDCJAC0011,086338,2016,03,18,15.2,1,Y
IDCJAC0011,086338,2016,03,19,12.0,1,Y
IDCJAC0011,086338,2016,03,20,10.1,1,Y
IDCJAC0011,086338,2016,03,21,11.2,1,Y
IDCJAC0011,086338,2016,03,22,11.4,1,Y
IDCJAC0011,086338,2016,03,23,13.7,1,Y
IDCJAC0011,086338,2016,03,24,16.3,1,Y
IDCJAC0011,086338,2016,03,25,15.9,1,Y
IDCJAC0011,086338,2016,03,26,14.1,1,Y
IDCJAC0011,086338,2016,03,27,14.3,1,Y
IDCJAC0011,086338,2016,03,28,9.4,1,Y
IDCJAC0011,086338,2016,03,29,14.5,1,Y
IDCJAC0011,086338,2016,03,30,15.5,1,Y
IDCJAC0011,086338,2016,03,31,11.3,1,Y
IDCJAC0011,086338,2016,04,01,13.1,1,Y
IDCJAC0011,086338,2016,04,02,15.5,1,Y
IDCJAC0011,086338,2016,04,03,11.3,1,Y
IDCJAC0011,086338,2016,04,04,9.7,1,Y
IDCJAC0011,086338,2016,04,05,12.3,1,Y
IDCJAC0011,086338,2016,04,06,13.6,1,Y
IDCJAC0011,086338,2016,04,07,8.3,1,Y
IDCJAC0011,086338,2016,04,08,11.9,1,Y
IDCJAC0011,086338,2016,04,09,10.4,1,Y
IDCJAC0011,086338,2016,04,10,13.6,1,Y
IDCJAC0011,086338,2016,04,11,14.5,1,Y
IDCJAC0011,086338,2016,04,12,14.0,1,Y
IDCJAC0011,086338,2016,04,13,11.3,1,Y
IDCJAC0011,086338,2016,04,14,11.6,1,Y
IDCJAC0011,086338,2016,04,15,13.4,1,Y
IDCJAC0011,086338,2016,04,16,14.0,1,Y
IDCJAC0011,086338,2016,04,17,13.1,1,Y
IDCJAC0011,086338,2016,04,18,9.8,1,Y
IDCJAC0011,086338,2016,04,19,13.6,1,Y
IDCJAC0011,086338,2016,04,20,15.3,1,Y
IDCJAC0011,086338,2016,04,21,17.1,1,Y
IDCJAC0011,086338,2016,04,22,14.6,1,Y
IDCJAC0011,086338,2016,04,23,12.3,1,Y
IDCJAC0011,086338,2016,04,24,9.1,1,Y
IDCJAC0011,086338,2016,04,25,9.9,1,Y
IDCJAC0011,086338,2016,04,26,11.3,1,Y
IDCJAC0011,086338,2016,04,27,13.0,1,Y
IDCJAC0011,086338,2016,04,28,19.8,1,Y
IDCJAC0011,086338,2016,04,29,16.9,1,Y
IDCJAC0011,086338,2016,04,30,16.4,1,Y
IDCJAC0011,086338,2016,05,01,14.4,1,Y
IDCJAC0011,086338,2016,05,02,9.0,1,Y
IDCJAC0011,086338,2016,05,03,12.3,1,Y
IDCJAC0011,086338,2016,05,04,9.8,1,Y
IDCJAC0011,086338,2016,05,05,12.6,1,Y
IDCJAC0011,086338,2016,05,06,15.9,1,Y
IDCJAC0011,086338,2016,05,07,11.4,1,Y
IDCJAC0011,086338,2016,05,08,15.5,1,Y
IDCJAC0011,086338,2016,05,09,15.4,1,Y
IDCJAC0011,086338,2016,05,10,13.7,1,Y
IDCJAC0011,086338,2016,05,11,12.2,1,Y
IDCJAC0011,086338,2016,05,12,14.1,1,Y
IDCJAC0011,086338,2016,05,13,15.9,1,Y
IDCJAC0011,086338,2016,05,14,14.5,1,Y
IDCJAC0011,086338,2016,05,15,15.0,1,Y
IDCJAC0011,086338,2016,05,16,7.7,1,Y
IDCJAC0011,086338,2016,05,17,11.4,1,Y
IDCJAC0011,086338,2016,05,18,13.0,1,Y
IDCJAC0011,086338,2016,05,19,14.6,1,Y
IDCJAC0011,086338,2016,05,20,11.6,1,Y
IDCJAC0011,086338,2016,05,21,8.1,1,Y
IDCJAC0011,086338,2016,05,22,9.2,1,Y
IDCJAC0011,086338,2016,05,23,12.8,1,Y
IDCJAC0011,086338,2016,05,24,10.7,1,Y
IDCJAC0011,086338,2016,05,25,7.6,1,Y
IDCJAC0011,086338,2016,05,26,10.3,1,Y
IDCJAC0011,086338,2016,05,27,9.2,1,Y
IDCJAC0011,086338,2016,05,28,5.7,1,Y
IDCJAC0011,086338,2016,05,29,8.7,1,Y
IDCJAC0011,086338,2016,05,30,7.2,1,Y
IDCJAC0011,086338,2016,05,31,3.6,1,Y
IDCJAC0011,086338,2016,06,01,4.8,1,N
IDCJAC0011,086338,2016,06,02,4.8,1,N
IDCJAC0011,086338,2016,06,03,6.8,1,N
IDCJAC0011,086338,2016,06,04,9.8,1,N
IDCJAC0011,086338,2016,06,05,10.5,1,N
IDCJAC0011,086338,2016,06,06,8.9,1,N
IDCJAC0011,086338,2016,06,07,10.5,1,N
IDCJAC0011,086338,2016,06,08,9.7,1,N
IDCJAC0011,086338,2016,06,09,10.8,1,N
IDCJAC0011,086338,2016,06,10,10.4,1,N
IDCJAC0011,086338,2016,06,11,9.0,1,N
IDCJAC0011,086338,2016,06,12,5.0,1,N
IDCJAC0011,086338,2016,06,13,3.8,1,N
IDCJAC0011,086338,2016,06,14,8.6,1,N
IDCJAC0011,086338,2016,06,15,6.0,1,N
IDCJAC0011,086338,2016,06,16,7.8,1,N
IDCJAC0011,086338,2016,06,17,9.3,1,N
IDCJAC0011,086338,2016,06,18,10.0,1,N
IDCJAC0011,086338,2016,06,19,7.3,1,N
IDCJAC0011,086338,2016,06,20,9.1,1,N
IDCJAC0011,086338,2016,06,21,10.4,1,N
IDCJAC0011,086338,2016,06,22,11.2,1,N
IDCJAC0011,086338,2016,06,23,10.4,1,N
IDCJAC0011,086338,2016,06,24,6.9,1,N
IDCJAC0011,086338,2016,06,25,5.6,1,N
IDCJAC0011,086338,2016,06,26,3.0,1,N
IDCJAC0011,086338,2016,06,27,4.8,1,N
IDCJAC0011,086338,2016,06,28,5.0,1,N
IDCJAC0011,086338,2016,06,29,8.9,1,N
IDCJAC0011,086338,2016,06,30,10.3,1,N
IDCJAC0011,086338,2016,07,01,7.3,1,Y
IDCJAC0011,086338,2016,07,02,9.9,1,Y
IDCJAC0011,086338,2016,07,03,10.9,1,Y
IDCJAC0011,086338,2016,07,04,10.4,1,Y
IDCJAC0011,086338,2016,07,05,8.2,1,Y
IDCJAC0011,086338,2016,07,06,9.8,1,Y
IDCJAC0011,086338,2016,07,07,10.5,1,Y
IDCJAC0011,086338,2016,07,08,9.7,1,Y
IDCJAC0011,086338,2016,07,09,5.3,1,Y
IDCJAC0011,086338,2016,07,10,6.5,1,Y
IDCJAC0011,086338,2016,07,11,8.3,1,Y
IDCJAC0011,086338,2016,07,12,10.7,1,Y
IDCJAC0011,086338,2016,07,13,4.5,1,Y
IDCJAC0011,086338,2016,07,14,6.6,1,Y
IDCJAC0011,086338,2016,07,15,8.8,1,Y
IDCJAC0011,086338,2016,07,16,7.8,1,Y
IDCJAC0011,086338,2016,07,17,3.1,1,Y
IDCJAC0011,086338,2016,07,18,9.6,1,Y
IDCJAC0011,086338,2016,07,19,12.6,1,Y
IDCJAC0011,086338,2016,07,20,9.8,1,Y
IDCJAC0011,086338,2016,07,21,6.9,1,Y
IDCJAC0011,086338,2016,07,22,9.2,1,Y
IDCJAC0011,086338,2016,07,23,7.5,1,Y
IDCJAC0011,086338,2016,07,24,4.7,1,Y
IDCJAC0011,086338,2016,07,25,6.3,1,Y
IDCJAC0011,086338,2016,07,26,6.5,1,Y
IDCJAC0011,086338,2016,07,27,7.5,1,Y
IDCJAC0011,086338,2016,07,28,6.9,1,Y
IDCJAC0011,086338,2016,07,29,10.2,1,Y
IDCJAC0011,086338,2016,07,30,9.1,1,Y
IDCJAC0011,086338,2016,07,31,10.3,1,Y
IDCJAC0011,086338,2016,08,01,11.2,1,Y
IDCJAC0011,086338,2016,08,02,8.5,1,Y
IDCJAC0011,086338,2016,08,03,8.7,1,Y
IDCJAC0011,086338,2016,08,04,4.9,1,Y
IDCJAC0011,086338,2016,08,05,3.4,1,Y
IDCJAC0011,086338,2016,08,06,5.8,1,Y
IDCJAC0011,086338,2016,08,07,7.6,1,Y
IDCJAC0011,086338,2016,08,08,5.0,1,Y
IDCJAC0011,086338,2016,08,09,9.7,1,Y
IDCJAC0011,086338,2016,08,10,9.6,1,Y
IDCJAC0011,086338,2016,08,11,6.8,1,Y
IDCJAC0011,086338,2016,08,12,7.7,1,Y
IDCJAC0011,086338,2016,08,13,7.9,1,Y
IDCJAC0011,086338,2016,08,14,8.5,1,Y
IDCJAC0011,086338,2016,08,15,10.2,1,Y
IDCJAC0011,086338,2016,08,16,10.0,1,Y
IDCJAC0011,086338,2016,08,17,12.5,1,Y
IDCJAC0011,086338,2016,08,18,7.1,1,Y
IDCJAC0011,086338,2016,08,19,15.3,1,Y
IDCJAC0011,086338,2016,08,20,6.9,1,Y
IDCJAC0011,086338,2016,08,21,9.5,1,Y
IDCJAC0011,086338,2016,08,22,7.8,1,Y
IDCJAC0011,086338,2016,08,23,7.0,1,Y
IDCJAC0011,086338,2016,08,24,3.7,1,Y
IDCJAC0011,086338,2016,08,25,6.5,1,Y
IDCJAC0011,086338,2016,08,26,7.2,1,Y
IDCJAC0011,086338,2016,08,27,9.3,1,Y
IDCJAC0011,086338,2016,08,28,10.5,1,Y
IDCJAC0011,086338,2016,08,29,8.7,1,Y
IDCJAC0011,086338,2016,08,30,10.2,1,Y
IDCJAC0011,086338,2016,08,31,12.8,1,Y
IDCJAC0011,086338,2016,09,01,11.6,1,N
IDCJAC0011,086338,2016,09,02,9.6,1,N
IDCJAC0011,086338,2016,09,03,10.0,1,N
IDCJAC0011,086338,2016,09,04,10.1,1,N
IDCJAC0011,086338,2016,09,05,12.8,1,N
IDCJAC0011,086338,2016,09,06,9.2,1,N
IDCJAC0011,086338,2016,09,07,9.6,1,N
IDCJAC0011,086338,2016,09,08,13.1,1,N
IDCJAC0011,086338,2016,09,09,16.0,1,N
IDCJAC0011,086338,2016,09,10,11.5,1,N
IDCJAC0011,086338,2016,09,11,7.3,1,N
IDCJAC0011,086338,2016,09,12,9.9,1,N
IDCJAC0011,086338,2016,09,13,9.6,1,N
IDCJAC0011,086338,2016,09,14,10.5,1,N
IDCJAC0011,086338,2016,09,15,8.7,1,N
IDCJAC0011,086338,2016,09,16,9.0,1,N
IDCJAC0011,086338,2016,09,17,11.1,1,N
IDCJAC0011,086338,2016,09,18,10.8,1,N
IDCJAC0011,086338,2016,09,19,8.5,1,N
IDCJAC0011,086338,2016,09,20,9.1,1,N
IDCJAC0011,086338,2016,09,21,10.9,1,N
IDCJAC0011,086338,2016,09,22,9.6,1,N
IDCJAC0011,086338,2016,09,23,9.8,1,N
IDCJAC0011,086338,2016,09,24,10.0,1,N
IDCJAC0011,086338,2016,09,25,9.5,1,N
IDCJAC0011,086338,2016,09,26,8.1,1,N
IDCJAC0011,086338,2016,09,27,7.4,1,N
IDCJAC0011,086338,2016,09,28,7.5,1,N
IDCJAC0011,086338,2016,09,29,12.5,1,N
IDCJAC0011,086338,2016,09,30,9.3,1,N
IDCJAC0011,086338,2016,10,01,11.6,1,Y
IDCJAC0011,086338,2016,10,02,12.1,1,Y
IDCJAC0011,086338,2016,10,03,11.1,1,Y
